"GEO_ID","NAME","B28006_001E","B28006_001M","B28006_002E","B28006_002M","B28006_003E","B28006_003M","B28006_004E","B28006_004M","B28006_005E","B28006_005M","B28006_006E","B28006_006M","B28006_007E","B28006_007M","B28006_008E","B28006_008M","B28006_009E","B28006_009M","B28006_010E","B28006_010M","B28006_011E","B28006_011M","B28006_012E","B28006_012M","B28006_013E","B28006_013M","B28006_014E","B28006_014M","B28006_015E","B28006_015M","B28006_016E","B28006_016M","B28006_017E","B28006_017M","B28006_018E","B28006_018M","B28006_019E","B28006_019M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than high school graduate or equivalency","Margin of Error!!Total!!Less than high school graduate or equivalency","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer!!Without an Internet subscription","Estimate!!Total!!Less than high school graduate or equivalency!!No computer","Margin of Error!!Total!!Less than high school graduate or equivalency!!No computer","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!Without an Internet subscription","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!No computer","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!No computer","Estimate!!Total!!Bachelor's degree or higher","Margin of Error!!Total!!Bachelor's degree or higher","Estimate!!Total!!Bachelor's degree or higher!!Has a computer","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer","Estimate!!Total!!Bachelor's degree or higher!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Bachelor's degree or higher!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Bachelor's degree or higher!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer!!Without an Internet subscription","Estimate!!Total!!Bachelor's degree or higher!!No computer","Margin of Error!!Total!!Bachelor's degree or higher!!No computer",
"0500000US24033","Prince George's County, Maryland","614098","1384","77986","4236","72784","4159","0","206","61375","3976","11409","2741","5202","1473","324028","6846","310085","6530","209","176","289030","7104","20846","3392","13943","2485","212084","6406","208364","6141","74","125","201158","6123","7132","1554","3720","1566",
"0500000US24037","St. Mary's County, Maryland","71986","1610","6466","1575","4580","1203","0","206","3782","1080","798","692","1886","898","40280","2520","38017","2652","105","141","35829","2830","2083","948","2263","764","25240","2200","24371","2181","29","47","23926","2212","416","420","869","620",
"0500000US24043","Washington County, Maryland","97894","1260","12049","1890","8535","1661","0","206","7610","1581","925","518","3514","1066","63571","2562","58035","2567","165","225","53836","2658","4034","1233","5536","1225","22274","2191","21846","2212","108","144","20965","2157","773","465","428","271",
"0500000US24045","Wicomico County, Maryland","63694","1568","8422","1467","6109","1067","0","206","4800","1077","1309","693","2313","979","40080","2157","37053","2401","59","103","33342","2507","3652","1266","3027","943","15192","1980","14930","2007","0","206","14870","2037","60","101","262","205",
"0500000US24510","Baltimore city, Maryland","411305","1932","56395","4047","43828","3630","57","95","33035","3225","10736","2150","12567","2196","216012","6228","192385","6326","882","633","162140","6627","29363","4257","23627","3063","138898","4929","135413","4774","104","128","128381","4777","6928","1543","3485","1013",
"0500000US25001","Barnstable County, Massachusetts","164463","1151","8901","1895","8106","1855","0","211","7600","1910","506","372","795","573","86424","3663","83372","3621","51","85","77865","3691","5456","1745","3052","1006","69138","3353","67774","3321","51","82","66568","3283","1155","491","1364","537",
"0500000US25003","Berkshire County, Massachusetts","90929","1121","5821","1431","4583","1306","0","211","4399","1274","184","155","1238","491","53313","2467","49080","2404","159","122","45949","2430","2972","1158","4233","1025","31795","2458","30564","2390","91","95","29237","2428","1236","664","1231","582",
"0500000US25005","Bristol County, Massachusetts","389048","1217","53639","3744","39115","3587","67","106","32841","3265","6207","1697","14524","2334","228198","5575","211240","5616","428","371","196942","6362","13870","2707","16958","2559","107211","5278","104634","5169","35","59","102219","5131","2380","1117","2577","885",
"0500000US25009","Essex County, Massachusetts","539969","1546","57360","4137","47042","3884","0","211","39020","3899","8022","2188","10318","2272","264668","6389","249469","6233","170","200","233195","6501","16104","2622","15199","1749","217941","6557","213953","6496","466","352","208425","6550","5062","1326","3988","1121",
"0500000US25011","Franklin County, Massachusetts","52656","675","3815","784","3056","731","0","211","2798","758","258","195","759","396","27853","1594","25407","1667","155","132","22402","1685","2850","887","2446","670","20988","1409","20521","1423","76","79","19564","1387","881","414","467","277",
"0500000US25013","Hampden County, Massachusetts","314924","1110","47089","3805","35273","3574","366","323","30133","3683","4774","1662","11816","2252","179212","5237","162066","5378","629","346","150472","5246","10965","2228","17146","2222","88623","4360","85829","4406","499","463","80627","4487","4703","1803","2794","859",
"0500000US25015","Hampshire County, Massachusetts","98793","940","4513","971","3496","930","20","36","3294","896","182","251","1017","408","45026","3380","41236","3219","260","240","38601","3132","2375","899","3790","1173","49254","3551","48442","3566","196","213","45715","3520","2531","1237","812","496",
"0500000US25017","Middlesex County, Massachusetts","1114956","2136","64725","4621","54141","4274","203","224","48240","4061","5698","1716","10584","1955","400097","8540","371267","8604","706","480","353341","8620","17220","3205","28830","3619","650134","7853","642527","8102","548","480","630986","8384","10993","2371","7607","1588",
"0500000US25021","Norfolk County, Massachusetts","487192","1116","26862","3050","23392","2926","0","211","21356","2718","2036","930","3470","1389","193719","5892","181818","5790","426","342","171082","6354","10310","2863","11901","1994","266611","6182","263713","6263","270","193","259870","6344","3573","1219","2898","999",
"0500000US25023","Plymouth County, Massachusetts","354595","1833","24082","3059","19749","2619","110","150","17490","2543","2149","961","4333","1384","187807","5561","179215","5507","158","168","166921","5145","12136","2361","8592","1747","142706","5286","141123","5319","134","221","137745","5428","3244","1256","1583","632",
"0500000US25025","Suffolk County, Massachusetts","549343","2295","77747","5826","66594","5626","47","78","57541","5524","9006","2252","11153","2012","206613","6431","190960","6295","450","324","174960","6203","15550","3199","15653","2529","264983","6771","259999","6787","586","470","252060","6560","7353","1785","4984","1300",
"0500000US25027","Worcester County, Massachusetts","562841","1546","45688","4304","38108","4110","41","67","33342","3871","4725","1233","7580","1469","302347","6824","281804","7248","452","299","267247","7224","14105","2551","20543","2719","214806","6304","211934","6345","618","329","207586","6337","3730","1314","2872","783",
"0500000US26005","Allegan County, Michigan","78853","771","7618","1175","5407","1137","0","172","4391","1129","1016","504","2211","834","52695","1970","48587","2214","345","378","45143","2194","3099","897","4108","1462","18540","2049","18397","2050","64","107","17628","2027","705","419","143","124",
"0500000US26017","Bay County, Michigan","73261","813","7654","1408","6339","1368","0","172","5740","1387","599","442","1315","599","51240","2315","46297","2293","14","25","44202","2421","2081","730","4943","1140","14367","1782","14077","1794","16","27","13715","1760","346","201","290","203",
"0500000US26021","Berrien County, Michigan","105331","1035","10605","1403","8102","1173","0","172","6195","1124","1907","699","2503","733","63698","2628","58896","2610","106","99","48331","2541","10459","1721","4802","949","31028","2409","30253","2398","54","69","27273","2238","2926","1163","775","575",
"0500000US26025","Calhoun County, Michigan","89535","991","7508","1303","6282","1287","11","19","5580","1265","691","379","1226","542","62071","1826","57363","1814","175","117","52420","2133","4768","1034","4708","1144","19956","1556","19631","1546","41","68","18646","1665","944","685","325","263",
"0500000US26037","Clinton County, Michigan","53865","720","3416","682","2881","696","0","172","2757","702","124","133","535","236","34648","1565","32274","1572","252","234","30241","1653","1781","680","2374","647","15801","1594","15731","1598","0","172","15520","1566","211","196","70","84",
"0500000US26045","Eaton County, Michigan","76937","911","3563","762","2904","717","0","172","2668","684","236","244","659","296","50521","2044","47831","2041","128","93","44852","2253","2851","911","2690","719","22853","1939","22462","1931","0","172","21930","1954","532","267","391","279",
"0500000US26049","Genesee County, Michigan","276878","1003","24403","2953","18410","2441","265","305","15730","2223","2415","833","5993","1421","190522","4235","170725","4767","578","382","155606","5266","14541","2567","19797","2591","61953","4381","60836","4274","29","48","58435","4129","2372","1054","1117","490",
"0500000US26055","Grand Traverse County, Michigan","65585","912","2770","807","2462","807","0","172","2105","729","357","336","308","352","40203","2667","38461","2713","184","283","34903","2728","3374","1098","1742","701","22612","2480","22132","2478","5","9","21154","2430","973","654","480","257",
"0500000US26065","Ingham County, Michigan","176175","1055","12073","2049","10075","1748","87","87","7464","1399","2524","1074","1998","847","96529","3281","91245","3370","56","55","81372","3122","9817","2340","5284","1098","67573","3248","66815","3168","13","22","64486","3211","2316","763","758","345",
"0500000US26073","Isabella County, Michigan","38554","855","3319","906","2565","857","25","42","2095","678","445","496","754","370","24131","1335","22117","1281","111","115","19395","1310","2611","847","2014","584","11104","1142","10965","1145","21","34","10258","1126","686","368","139","116",
"0500000US26075","Jackson County, Michigan","103899","1067","9194","1695","7977","1695","69","88","6430","1421","1478","739","1217","387","71589","2322","64778","2392","291","193","60305","2565","4182","1216","6811","1394","23116","1680","22769","1759","67","112","21927","1751","775","493","347","231",
"0500000US26077","Kalamazoo County, Michigan","163714","1068","10097","1727","8498","1592","0","172","7609","1597","889","586","1599","743","89161","3485","82425","3458","570","407","78427","3612","3428","842","6736","1431","64456","3472","63336","3602","596","371","61890","3548","850","355","1120","537",
