"GEO_ID","NAME","B28006_001E","B28006_001M","B28006_002E","B28006_002M","B28006_003E","B28006_003M","B28006_004E","B28006_004M","B28006_005E","B28006_005M","B28006_006E","B28006_006M","B28006_007E","B28006_007M","B28006_008E","B28006_008M","B28006_009E","B28006_009M","B28006_010E","B28006_010M","B28006_011E","B28006_011M","B28006_012E","B28006_012M","B28006_013E","B28006_013M","B28006_014E","B28006_014M","B28006_015E","B28006_015M","B28006_016E","B28006_016M","B28006_017E","B28006_017M","B28006_018E","B28006_018M","B28006_019E","B28006_019M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than high school graduate or equivalency:","Margin of Error!!Total:!!Less than high school graduate or equivalency:","Estimate!!Total:!!Less than high school graduate or equivalency:!!Has a computer:","Margin of Error!!Total:!!Less than high school graduate or equivalency:!!Has a computer:","Estimate!!Total:!!Less than high school graduate or equivalency:!!Has a computer:!!With dial-up Internet subscription alone","Margin of Error!!Total:!!Less than high school graduate or equivalency:!!Has a computer:!!With dial-up Internet subscription alone","Estimate!!Total:!!Less than high school graduate or equivalency:!!Has a computer:!!With a broadband Internet subscription","Margin of Error!!Total:!!Less than high school graduate or equivalency:!!Has a computer:!!With a broadband Internet subscription","Estimate!!Total:!!Less than high school graduate or equivalency:!!Has a computer:!!Without an Internet subscription","Margin of Error!!Total:!!Less than high school graduate or equivalency:!!Has a computer:!!Without an Internet subscription","Estimate!!Total:!!Less than high school graduate or equivalency:!!No computer","Margin of Error!!Total:!!Less than high school graduate or equivalency:!!No computer","Estimate!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :","Margin of Error!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :","Estimate!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:","Margin of Error!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:","Estimate!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:!!With dial-up Internet subscription alone","Margin of Error!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:!!With dial-up Internet subscription alone","Estimate!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:!!With a broadband Internet subscription","Margin of Error!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:!!With a broadband Internet subscription","Estimate!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:!!Without an Internet subscription","Margin of Error!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:!!Without an Internet subscription","Estimate!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!No computer","Margin of Error!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!No computer","Estimate!!Total:!!Bachelor's degree or higher:","Margin of Error!!Total:!!Bachelor's degree or higher:","Estimate!!Total:!!Bachelor's degree or higher:!!Has a computer:","Margin of Error!!Total:!!Bachelor's degree or higher:!!Has a computer:","Estimate!!Total:!!Bachelor's degree or higher:!!Has a computer:!!With dial-up Internet subscription alone","Margin of Error!!Total:!!Bachelor's degree or higher:!!Has a computer:!!With dial-up Internet subscription alone","Estimate!!Total:!!Bachelor's degree or higher:!!Has a computer:!!With a broadband Internet subscription","Margin of Error!!Total:!!Bachelor's degree or higher:!!Has a computer:!!With a broadband Internet subscription","Estimate!!Total:!!Bachelor's degree or higher:!!Has a computer:!!Without an Internet subscription","Margin of Error!!Total:!!Bachelor's degree or higher:!!Has a computer:!!Without an Internet subscription","Estimate!!Total:!!Bachelor's degree or higher:!!No computer","Margin of Error!!Total:!!Bachelor's degree or higher:!!No computer",
"0500000US01003","Baldwin County, Alabama","175621","1083","12301","2399","10242","2219","0","208","8437","2025","1805","1265","2059","1071","103658","4476","98644","4578","0","208","94053","4748","4591","1556","5014","1711","59662","5069","59054","5028","0","208","56046","4875","3008","1803","608","519",
"0500000US01015","Calhoun County, Alabama","76698","1204","10766","1874","9355","1963","0","208","8615","2023","740","417","1411","817","49364","3141","47287","3199","0","208","43951","3385","3336","1085","2077","876","16568","2267","16208","2250","0","208","15105","2190","1103","623","360","284",
"0500000US01043","Cullman County, Alabama","62434","318","8265","1807","7682","1798","0","208","6556","1747","1126","720","583","347","41507","2656","39011","2715","0","208","36946","2586","2065","729","2496","1254","12662","2257","12368","2245","0","208","11829","2243","539","379","294","227",
"0500000US01049","DeKalb County, Alabama","47517","375","10910","1400","9899","1297","0","208","8791","1346","1108","627","1011","543","30010","1694","28699","1735","0","208","27345","1784","1354","631","1311","490","6597","1358","6494","1329","0","208","6471","1331","23","31","103","149",
"0500000US01051","Elmore County, Alabama","59829","1231","5174","1300","4785","1272","0","208","4541","1242","244","281","389","319","40382","2315","38722","2161","0","208","37050","2232","1672","767","1660","1034","14273","1643","14120","1628","0","208","13880","1634","240","235","153","182",
"0500000US01055","Etowah County, Alabama","71582","670","9952","1674","8969","1609","0","208","8045","1650","924","461","983","444","49318","2220","46700","2410","0","208","42788","2546","3912","1280","2618","916","12312","1747","12018","1724","0","208","11522","1667","496","360","294","189",
"0500000US01069","Houston County, Alabama","74144","199","9838","1156","8293","1053","0","208","6844","1015","1449","475","1545","575","46120","1693","44022","1767","116","200","40705","1827","3201","807","2098","535","18186","1665","18035","1655","47","59","17484","1716","504","253","151","86",
"0500000US01073","Jefferson County, Alabama","441887","868","37393","3190","33095","2982","41","70","27972","2957","5082","1562","4298","1046","235606","6148","225350","6490","329","409","208652","6988","16369","2324","10256","2208","168888","6377","167660","6348","0","208","164265","6360","3395","1373","1228","567",
"0500000US01077","Lauderdale County, Alabama","64929","584","6138","1122","5160","1044","0","208","4236","1050","924","526","978","522","42320","2158","38756","2204","0","208","35726","2306","3030","1335","3564","1121","16471","1895","16436","1887","45","80","15847","1859","544","369","35","41",
"0500000US01081","Lee County, Alabama","109880","1069","7656","1487","6231","1369","0","208","5018","1176","1213","780","1425","699","55346","3182","52790","3263","34","60","48723","3224","4033","1467","2556","962","46878","2999","46687","2939","0","208","44801","3164","1886","1327","191","247",
"0500000US01083","Limestone County, Alabama","75896","797","8008","2245","7084","2231","0","208","6381","2134","703","540","924","524","41128","3058","39766","3116","0","208","35751","3377","4015","1840","1362","672","26760","3151","26470","3213","0","208","24936","3276","1534","1073","290","383",
"0500000US01089","Madison County, Alabama","274416","625","19357","3070","17680","2914","0","208","15366","2603","2314","1272","1677","795","125629","5066","122416","5155","0","208","114011","5225","8405","1986","3213","1089","129430","5609","128939","5642","101","117","126538","5615","2300","945","491","375",
"0500000US01095","Marshall County, Alabama","64143","960","8110","1208","7653","1185","0","208","6860","1033","793","559","457","248","42748","2244","41062","2211","6","10","39062","2236","1994","776","1686","641","13285","1630","12927","1624","0","208","12646","1576","281","215","358","312",
"0500000US01097","Mobile County, Alabama","275194","643","28939","2634","26743","2557","206","270","19408","2371","7129","1643","2196","772","175474","4715","167661","5067","3139","1804","148611","4780","15911","2716","7813","1907","70781","4179","69305","4087","1003","703","66031","4117","2271","1060","1476","620",
"0500000US01101","Montgomery County, Alabama","146373","349","13425","2279","11924","2182","0","208","10732","2184","1192","693","1501","853","78334","4129","74963","4037","28","46","72645","4108","2290","869","3371","1129","54614","3879","53745","3914","0","208","52398","3924","1347","721","869","532",
"0500000US01103","Morgan County, Alabama","83123","1113","9891","1948","8945","1839","63","98","7309","1286","1573","1188","946","603","52009","3098","49485","3168","54","92","45852","3183","3579","1318","2524","920","21223","2565","20771","2589","0","208","20562","2552","209","199","452","347",
"0500000US01115","St. Clair County, Alabama","64114","870","6542","1476","5515","1424","0","208","5436","1421","79","89","1027","517","44955","2153","43498","2184","32","54","41559","2205","1907","806","1457","766","12617","1754","12180","1737","0","208","11908","1728","272","204","437","449",
"0500000US01117","Shelby County, Alabama","156338","915","9457","1588","8780","1527","0","208","8176","1558","604","390","677","570","68305","3644","65609","3760","0","208","62766","3677","2843","1169","2696","836","78576","3719","77842","3769","0","208","76078","3975","1764","1462","734","485",
"0500000US01121","Talladega County, Alabama","56400","918","7096","1474","6476","1464","0","208","5663","1368","813","648","620","319","39287","2410","36388","2393","0","208","34137","2505","2251","1059","2899","1454","10017","2349","9998","2349","109","174","9531","2308","358","420","19","36",
"0500000US01125","Tuscaloosa County, Alabama","140706","971","11595","1860","10698","1959","0","208","9494","1784","1204","693","897","502","80774","3884","77769","3806","0","208","73396","4126","4373","1563","3005","899","48337","3204","47179","3249","0","208","45636","3571","1543","873","1158","721",
"0500000US02020","Anchorage Municipality, Alaska","188829","1372","12650","2353","12451","2377","0","170","12379","2361","72","127","199","220","103597","4264","101782","4112","234","329","99871","4224","1677","781","1815","1207","72582","4010","71959","4074","0","170","70816","4032","1143","653","623","384",
