"GEO_ID","NAME","B28006_001E","B28006_001M","B28006_002E","B28006_002M","B28006_003E","B28006_003M","B28006_004E","B28006_004M","B28006_005E","B28006_005M","B28006_006E","B28006_006M","B28006_007E","B28006_007M","B28006_008E","B28006_008M","B28006_009E","B28006_009M","B28006_010E","B28006_010M","B28006_011E","B28006_011M","B28006_012E","B28006_012M","B28006_013E","B28006_013M","B28006_014E","B28006_014M","B28006_015E","B28006_015M","B28006_016E","B28006_016M","B28006_017E","B28006_017M","B28006_018E","B28006_018M","B28006_019E","B28006_019M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than high school graduate or equivalency","Margin of Error!!Total!!Less than high school graduate or equivalency","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer!!Without an Internet subscription","Estimate!!Total!!Less than high school graduate or equivalency!!No computer","Margin of Error!!Total!!Less than high school graduate or equivalency!!No computer","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!Without an Internet subscription","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!No computer","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!No computer","Estimate!!Total!!Bachelor's degree or higher","Margin of Error!!Total!!Bachelor's degree or higher","Estimate!!Total!!Bachelor's degree or higher!!Has a computer","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer","Estimate!!Total!!Bachelor's degree or higher!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Bachelor's degree or higher!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Bachelor's degree or higher!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer!!Without an Internet subscription","Estimate!!Total!!Bachelor's degree or higher!!No computer","Margin of Error!!Total!!Bachelor's degree or higher!!No computer",
"0500000US39099","Mahoning County, Ohio","159272","1416","16164","1900","10082","1625","224","188","7592","1464","2266","780","6082","1407","107283","3233","85623","3249","772","413","72201","3602","12650","1893","21660","2114","35825","2513","33156","2427","220","217","30506","2359","2430","939","2669","600",
"0500000US39101","Marion County, Ohio","41094","782","4702","916","2852","771","0","190","1913","648","939","529","1850","684","30805","1430","25688","1631","167","126","22740","1698","2781","1056","5117","1230","5587","1064","5402","1047","6","11","5320","1051","76","91","185","198",
"0500000US39103","Medina County, Ohio","118436","584","9147","1494","6675","1020","240","220","5218","984","1217","621","2472","1027","74636","2314","67585","2324","682","430","61759","2683","5144","1304","7051","1410","34653","2273","33765","2222","157","164","32173","2246","1435","720","888","371",
"0500000US39109","Miami County, Ohio","69727","878","7920","1656","5803","1478","396","460","4741","1236","666","431","2117","715","49109","2295","42940","2372","578","377","36978","2554","5384","1250","6169","1162","12698","1795","12116","1807","52","86","11671","1729","393","345","582","380",
"0500000US39113","Montgomery County, Ohio","355996","1226","37238","3220","23887","2336","391","325","18304","1952","5192","1294","13351","2208","229139","4953","193408","5205","2796","1130","162492","5099","28120","3920","35731","3219","89619","4462","86497","4432","538","322","81776","4118","4183","1190","3122","717",
"0500000US39119","Muskingum County, Ohio","56596","604","7643","1418","4033","1097","58","93","2768","867","1207","707","3610","1109","39886","2061","33296","2331","748","552","27743","2611","4805","1245","6590","1191","9067","1545","8540","1515","0","190","7999","1472","541","415","527","316",
"0500000US39133","Portage County, Ohio","101660","942","7188","1176","4835","1012","364","327","4054","886","417","352","2353","747","69481","2339","61364","2839","1248","589","53568","3038","6548","2170","8117","1613","24991","2211","24453","2230","425","330","23717","2226","311","241","538","324",
"0500000US39139","Richland County, Ohio","79294","1093","9890","1245","5201","1126","0","190","3946","927","1255","670","4689","837","56483","2119","47082","2338","482","459","39856","2655","6744","1709","9401","1318","12921","1588","11927","1521","0","190","10776","1480","1151","691","994","511",
"0500000US39141","Ross County, Ohio","49282","1114","6068","1079","4021","923","54","91","3545","915","422","251","2047","722","36295","1796","29611","1872","396","321","24748","2347","4467","1673","6684","1410","6919","1265","6718","1280","225","326","6131","1265","362","222","201","186",
"0500000US39145","Scioto County, Ohio","51289","829","8637","1417","5324","1205","167","143","4203","1075","954","541","3313","858","34600","1639","28162","1675","850","500","24316","1823","2996","949","6438","1441","8052","1388","7855","1369","234","229","7212","1311","409","343","197","134",
"0500000US39151","Stark County, Ohio","252910","1087","25420","2416","14339","1882","199","212","12168","1711","1972","739","11081","2008","170431","4025","143429","3853","996","507","129844","4174","12589","2096","27002","2306","57059","3503","54780","3533","583","406","51985","3590","2212","749","2279","802",
"0500000US39153","Summit County, Ohio","366767","1303","33631","2717","20865","2203","980","1004","16449","1937","3436","907","12766","1797","217504","5094","184452","5158","3188","1160","159906","5697","21358","3120","33052","2922","115632","4923","108858","4791","686","327","103323","4712","4849","1264","6774","1560",
"0500000US39155","Trumbull County, Ohio","142532","918","16505","1925","9205","1331","351","274","6512","1208","2342","732","7300","1350","99377","2512","79938","3031","2184","902","65722","3009","12032","1830","19439","2268","26650","2232","25415","2236","642","416","22274","2106","2499","984","1235","504",
"0500000US39157","Tuscarawas County, Ohio","62467","342","7326","1280","4231","928","0","190","3805","867","426","305","3095","787","45717","1729","35924","2332","539","367","32611","2370","2774","1017","9793","1518","9424","1424","8939","1353","139","168","8008","1413","792","537","485","363",
"0500000US39165","Warren County, Ohio","139438","1427","9154","1897","5500","1468","176","220","5096","1429","228","187","3654","1184","70815","3597","63813","3693","279","279","59067","3643","4467","1645","7002","1697","59469","3475","58921","3439","123","205","55897","3553","2901","1369","548","404",
"0500000US39169","Wayne County, Ohio","74138","576","10413","1571","5494","1171","295","397","3967","932","1232","547","4919","1174","50045","2102","42659","2102","501","400","36643","2296","5515","1464","7386","1299","13680","1699","12688","1634","53","86","12436","1588","199","151","992","609",
"0500000US39173","Wood County, Ohio","77758","860","4043","990","2332","753","5","8","1750","659","577","423","1711","620","50401","2084","43447","2155","462","253","37532","2185","5453","1325","6954","1379","23314","1729","22459","1757","132","140","21278","1844","1049","602","855","401",
"0500000US40017","Canadian County, Oklahoma","80751","1012","8274","2002","7343","2055","197","187","5570","1783","1576","1133","931","411","52327","2440","47192","2717","525","306","40218","2673","6449","1856","5135","1492","20150","1844","19425","1896","164","147","17676","1836","1585","718","725","445",
"0500000US40027","Cleveland County, Oklahoma","164018","1477","15504","2174","11825","2046","280","257","9666","2052","1879","785","3679","1002","98731","3262","89223","3413","1213","673","78286","3950","9724","2321","9508","1903","49783","3151","49198","3133","416","380","45553","3012","3229","1024","585","352",
"0500000US40031","Comanche County, Oklahoma","72012","1364","6842","1111","4750","1041","72","90","2564","685","2114","851","2092","567","50028","1971","42527","2131","324","277","34197","2311","8006","1558","7501","1604","15142","1491","14206","1465","228","275","12457","1429","1521","534","936","387",
"0500000US40037","Creek County, Oklahoma","46905","594","6218","904","3646","682","135","104","2842","597","669","319","2572","617","34277","1329","25290","1424","333","200","21861","1573","3096","765","8987","1386","6410","935","5800","832","0","157","5256","775","544","331","610","303",
"0500000US40101","Muskogee County, Oklahoma","44002","740","5469","841","3384","710","46","71","2382","607","956","399","2085","599","29852","1384","23535","1626","361","264","18146","1883","5028","1057","6317","1279","8681","1098","7727","1099","104","163","6852","1017","771","348","954","361",
